precision_decimals,zstd_level,compressed_size_kb,compression_percent,write_time_milliseconds,read_time_milliseconds,RMSE
0,0,862.5498046875,95.25509662213223,77,13,0.5909811
0,1,929.8642578125,94.88479849641664,67,12,0.5909811
0,2,898.8271484375,95.0555342432829,63,11,0.5909811
0,3,893.2392578125,95.08627333910977,68,12,0.5909811
0,4,870.1865234375,95.21308688264149,69,12,0.5909811
0,5,863.3994140625,95.25042290431165,72,12,0.5909811
0,6,862.3896484375,95.25597764480185,73,12,0.5909811
0,7,863.0810546875,95.252174205472,77,12,0.5909811
0,8,862.7880859375,95.25378583230668,87,13,0.5909811
0,9,862.5498046875,95.25509662213223,75,11,0.5909811
0,10,862.5478515625,95.25510736631112,75,11,0.5909811
0,11,862.1142578125,95.25749257402644,79,12,0.5909811
0,12,861.5673828125,95.26050094411787,81,12,0.5909811
0,13,856.7646484375,95.28692088002776,88,12,0.5909811
0,14,852.5595703125,95.3100530971949,100,11,0.5909811
0,15,852.5595703125,95.3100530971949,99,12,0.5909811
0,16,851.4365234375,95.3162310000612,106,12,0.5909811
0,17,851.4365234375,95.3162310000612,105,12,0.5909811
0,18,851.4345703125,95.31624174424009,115,12,0.5909811
0,19,848.9072265625,95.33014471173395,145,12,0.5909811
0,20,848.9091796875,95.33013396755506,146,12,0.5909811
0,21,848.9091796875,95.33013396755506,146,12,0.5909811
1,0,2118.6669921875,88.34517135917784,82,13,0.05775531
1,1,2197.1728515625,87.91330908837736,64,13,0.05775531
1,2,2174.3759765625,88.03871514447349,68,13,0.05775531
1,3,2166.2607421875,88.0833572077942,77,13,0.05775531
1,4,2124.2158203125,88.31464714692896,93,14,0.05775531
1,5,2119.4892578125,88.34064805986183,97,13,0.05775531
1,6,2119.0439453125,88.34309773265055,79,13,0.05775531
1,7,2118.6513671875,88.34525731260902,82,13,0.05775531
1,8,2118.6298828125,88.3453754985769,83,13,0.05775531
1,9,2118.6669921875,88.34517135917784,84,13,0.05775531
1,10,2118.6669921875,88.34517135917784,84,13,0.05775531
1,11,2118.4404296875,88.34641768393,94,13,0.05775531
1,12,2118.3603515625,88.34685819526482,93,13,0.05775531
1,13,2113.8701171875,88.37155906255106,107,14,0.05775531
1,14,2114.8994140625,88.36589688027186,146,14,0.05775531
1,15,2114.8974609375,88.36590762445077,123,13,0.05775531
1,16,2114.7138671875,88.36691757726717,124,13,0.05775531
1,17,2114.7138671875,88.36691757726717,124,13,0.05775531
1,18,2114.7119140625,88.36692832144605,130,13,0.05775531
1,19,2114.4267578125,88.36849697156516,178,13,0.05775531
1,20,2114.4267578125,88.36849697156516,178,13,0.05775531
1,21,2114.4267578125,88.36849697156516,187,13,0.05775531
2,0,3459.6025390625,80.96865863922503,103,13,1.5064888e-05
2,1,3539.4306640625,80.52952255931068,68,13,1.5064888e-05
2,2,3534.1904296875,80.55834919129371,70,13,1.5064888e-05
2,3,3524.9482421875,80.6091906458385,82,13,1.5064888e-05
2,4,3466.3681640625,80.93144080352276,98,13,1.5064888e-05
2,5,3460.6337890625,80.96298571276694,97,13,1.5064888e-05
2,6,3460.0615234375,80.96613375718404,94,13,1.5064888e-05
2,7,3459.6318359375,80.96849747654157,94,13,1.5064888e-05
2,8,3459.5869140625,80.96874459265622,103,13,1.5064888e-05
2,9,3459.6025390625,80.96865863922503,126,13,1.5064888e-05
2,10,3459.6025390625,80.96865863922503,99,13,1.5064888e-05
2,11,3459.2333984375,80.97068928903674,127,14,1.5064888e-05
2,12,3459.0595703125,80.97164552095865,128,14,1.5064888e-05
2,13,3454.3115234375,80.9977646198594,137,13,1.5064888e-05
2,14,3454.2412109375,80.99815141029973,156,13,1.5064888e-05
2,15,3454.2412109375,80.99815141029973,163,14,1.5064888e-05
2,16,3444.8271484375,81.04993835258753,179,14,1.5064888e-05
2,17,3444.8271484375,81.04993835258753,168,15,1.5064888e-05
2,18,3444.8251953125,81.04994909676643,172,15,1.5064888e-05
2,19,3438.2607421875,81.08606028204221,248,15,1.5064888e-05
2,20,3438.2587890625,81.08607102622112,263,15,1.5064888e-05
2,21,3438.2587890625,81.08607102622112,245,14,1.5064888e-05
3,0,3766.6884765625,79.27937287946841,123,14,1.5068467e-05
3,1,3845.9208984375,78.84351377411792,89,14,1.5068467e-05
3,2,3835.4013671875,78.90138192166194,96,14,1.5068467e-05
3,3,3830.8369140625,78.9264910677463,95,14,1.5068467e-05
